tkt=300,Temperaturen_in_1 / 10Grad;:Außentemperatur;:Spannung AC;:Spannung DC;:xxx;
13.06.2023 00:02:30;158;0;0;0;
13.06.2023 00:07:30;158;0;0;0;
13.06.2023 00:12:30;158;0;0;0;
13.06.2023 00:17:30;162;0;0;0;
13.06.2023 00:22:30;162;0;0;0;
13.06.2023 00:27:30;162;0;0;0;
13.06.2023 00:32:30;156;0;0;0;
13.06.2023 00:37:30;154;0;0;0;
13.06.2023 00:42:30;154;0;0;0;
13.06.2023 00:47:30;153;0;0;0;
13.06.2023 00:52:30;152;0;0;0;
13.06.2023 00:57:30;152;0;0;0;
13.06.2023 01:02:30;152;0;0;0;
13.06.2023 01:07:30;152;0;0;0;
13.06.2023 01:12:30;152;0;0;0;
13.06.2023 01:17:30;152;0;0;0;
13.06.2023 01:22:30;151;0;0;0;
13.06.2023 01:27:30;151;0;0;0;
13.06.2023 01:32:30;151;0;0;0;
13.06.2023 01:37:30;148;0;0;0;
13.06.2023 01:42:30;143;0;0;0;
13.06.2023 01:47:30;143;0;0;0;
13.06.2023 01:52:30;143;0;0;0;
13.06.2023 01:57:30;143;0;0;0;
13.06.2023 02:02:30;143;0;0;0;
13.06.2023 02:07:30;143;0;0;0;
13.06.2023 02:12:30;139;0;0;0;
13.06.2023 02:17:30;138;0;0;0;
13.06.2023 02:22:30;138;0;0;0;
13.06.2023 02:27:30;138;0;0;0;
13.06.2023 02:32:30;138;0;0;0;
13.06.2023 02:37:30;138;0;0;0;
13.06.2023 02:42:30;137;0;0;0;
13.06.2023 02:47:30;134;0;0;0;
13.06.2023 02:52:30;134;0;0;0;
13.06.2023 02:57:30;134;0;0;0;
13.06.2023 03:02:30;134;0;0;0;
13.06.2023 03:07:30;134;0;0;0;
13.06.2023 03:12:30;134;0;0;0;
13.06.2023 03:17:30;134;0;0;0;
13.06.2023 03:22:30;134;0;0;0;
13.06.2023 03:27:30;134;0;0;0;
13.06.2023 03:32:30;133;0;0;0;
13.06.2023 03:37:30;125;0;0;0;
13.06.2023 03:42:30;125;0;0;0;
13.06.2023 03:47:30;125;0;0;0;
13.06.2023 03:52:30;123;0;0;0;
13.06.2023 03:57:30;123;0;0;0;
13.06.2023 04:02:30;123;0;0;0;
13.06.2023 04:07:30;125;0;0;0;
13.06.2023 04:12:30;130;0;0;0;
13.06.2023 04:17:30;130;0;0;0;
